company,reviews,salaries,jobs,benefits,photos
Alembic Pharmaceuticals,2.7k,13.5k,62,400,9
Pidilite Industries,2.7k,9.5k,30,372,1
Tata AIA Life Insurance,2.7k,11.6k,1,311,15
UnitedHealth,2.7k,21k,3,438,--
Hindalco Industries,2.7k,9.7k,7,351,6
Alkem Laboratories,2.7k,9k,12,349,--
Aakash Educational Services,2.7k,11.1k,77,221,9
 Publicis Sapient,2.7k,27.6k,27,421,19
Atos,2.7k,27.4k,--,372,9
Utkarsh Small Finance Bank,2.6k,8.7k,29,273,17
DCB Bank,2.6k,8.5k,67,254,9
Hindustan Coca Cola Beverages,2.6k,7.1k,47,395,1
Indian Air Force,2.6k,5.1k,--,377,1
Vishal Mega Mart,2.6k,6.5k,6,274,7
Barclays,2.6k,23.6k,--,285,20
Berger Paints,2.6k,8k,38,291,5
Marpu Foundation ,2.6k,17,--,94,2
Glenmark Pharmaceuticals,2.6k,11.2k,41,331,--
Ipca Laboratories,2.6k,10.8k,48,266,3
Jindal Steel and Power,2.6k,12.5k,21,338,11
Bank of America,2.6k,24.7k,1,433,--
Maersk,2.5k,16.5k,30,450,26
DTDC Express,2.5k,7.8k,38,269,2
24/7 Customer,2.5k,13k,34,440,5
Aarti Industries,2.5k,12.7k,38,387,2
ABB Group,2.5k,15.2k,3,364,8
Honda Motorcycle & Scooter ,2.5k,10.5k,--,373,4
Wipro Infotech,2.5k,16.6k,--,302,--
Carelon Global Solutions,2.5k,23k,23,54,6
Johnson Controls,2.5k,14.5k,43,304,27
HDFC Ergo General Insurance,2.5k,9.9k,--,279,1
NatWest Group,2.5k,20.2k,6,382,8
PolicyBazaar,2.5k,12.8k,61,242,11
CMS IT Services,2.5k,10.5k,4,200,3
Cogent E Services,2.5k,8.3k,2,235,5
MRF Tyres,2.5k,10.9k,21,377,6
RBL Bank,2.5k,15.6k,36,224,5
Reliance Nippon Life Insurance,2.5k,8k,3,235,3
Paras Hospital,2.5k,2.6k,57,154,41
Reliance Digital,2.5k,7.2k,--,283,12
PNB MetLife,2.5k,7.6k,11,230,11
Jubilant Foods Works,2.5k,7.4k,33,188,9
Escorts Kubota Limited,2.5k,10.5k,--,276,14
GeBBS Healthcare Solutions,2.5k,10.4k,27,304,7
 Wipro Consumer Care & Lighting,2.4k,3k,9,287,1
Ceat Tyres,2.4k,11.2k,15,367,4
Kotak Mahindara Life Insurance,2.4k,10.9k,178,273,--
Dabur,2.4k,7.5k,25,281,3
Axis Direct,2.4k,6.2k,14,227,--
JK Cement,2.4k,8k,--,263,3
Conduent,2.4k,18.6k,110,386,10
InterGlobe Aviation,2.4k,11.7k,57,322,4
Synechron,2.4k,26.3k,59,284,10
Shoppers Stop,2.3k,7.2k,1,329,8
Birlasoft,2.4k,27.5k,354,246,8
ACC,2.4k,9.3k,--,283,4
Lenskart,2.4k,9.3k,135,215,6
HARMAN,2.4k,23.8k,4,129,3
ArcelorMittal Nippon Steel,2.3k,9.2k,9,126,2
Reliance SMSL,2.3k,5.7k,--,284,3
GATI-KWE ,2.3k,5.9k,10,296,5
Indiabulls Home Loans,2.3k,9k,1,122,2
KPIT Technologies,2.3k,20k,3,311,13
PepsiCo,2.3k,9.7k,177,269,6
UPL,2.3k,10.1k,45,325,2
S&P Global,2.3k,17.2k,17,238,--
Torrent Pharmaceuticals,2.3k,10k,30,336,3
Dilip Buildcon,2.3k,7.8k,7,298,14
RSPL Group,2.3k,8.4k,23,308,5
Tech Mahindra Business Services,2.3k,12.1k,1,336,2
Square Yards,2.3k,7.7k,613,284,35
Titan Company,2.3k,7.9k,11,356,14
Wipro Enterprises Ltd,2.3k,6.3k,--,456,--
TVS Credit,2.3k,5.9k,14,208,2
Tata AIG,2.2k,10.1k,60,250,6
EY Global Delivery Services ( EY GDS),2.3k,13.4k,--,169,16
IDFC FIRST Bharat ,2.2k,3.8k,2,78,1
Aditya Birla Sun Life Insurance,2.2k,7.5k,4,218,23
Bajaj Electricals,2.2k,7.8k,29,306,9
Alstom Transportation,2.2k,11.4k,63,190,11
Statestreet HCL Services,2.2k,17.3k,--,219,--
IGT Solutions,2.2k,10.7k,147,243,14
Afcons Infrastructure,2.2k,7.2k,--,320,9
Apollo Tyres,2.2k,8.8k,13,341,5
Mankind Pharma,2.2k,7.8k,31,260,18
Simplex Infrastructures,2.1k,6.6k,--,291,--
Domino's Pizza,2.2k,4.4k,2,393,3
Suzlon Group,2.1k,7.6k,12,362,4
Capita,2.1k,14.1k,44,340,--
Zensar Technologies,2.1k,25.9k,27,276,24
Flex,2.1k,17.8k,10,456,1
State Street Corporation,2.1k,22.4k,15,282,10
Max Healthcare,2.1k,8.1k,102,255,17
KocharTech,2.1k,3.6k,80,606,6
Huawei Technologies,2.1k,11k,--,303,1
Bajaj Allianz General Insurance,2.1k,8.5k,19,247,2
Tata Technologies,2.1k,19.5k,114,336,10
Croma,2.1k,6.8k,20,196,3
I Process Services,2.1k,5.1k,10,133,--
McDonald's,2.1k,4.8k,2,422,3
Taj Hotels Resorts and Palaces,2.1k,5.3k,37,181,3
Grasim Industries,2.1k,8.7k,7,262,5
HDFC Sales,2.1k,7.6k,35,200,--
Nestle,2.1k,8.8k,52,328,10
ElasticRun,2.1k,6k,13,235,14
UNO Minda,2.1k,8.5k,12,279,3
Landmark Group,2.1k,8.6k,40,281,7
Walmart,2.1k,16.5k,298,362,2
AGS Health,2.1k,9.4k,21,287,9
Lava International,2k,4.8k,5,306,1
Nokia,2.1k,18.5k,258,549,14
Blue Dart Express,2k,6k,--,239,2
Patanjali Ayurved,2k,6.7k,--,262,2
Tractors and Farm Equipment,2k,8.2k,26,290,4
G4S,2k,4.6k,91,239,10
Fortis Healthcare,2k,6.8k,918,144,--
Capgemini Engineering,2k,19.9k,96,159,3
Societe Generale,2k,19.7k,91,313,--
State Street Syntel,2k,11.1k,--,289,--
BlackBuck,2k,5.7k,40,249,11
TVS Supply Chain Solutions,2k,7.9k,9,202,9
Britannia,2k,7.1k,9,259,5
Micro Labs,2k,8.8k,7,220,2
Fiserv,2k,18.4k,16,334,11
KFintech,2k,9.5k,5,54,1
Voltas,1.9k,7.6k,8,265,1
Sterlite Technologies,2k,10.2k,70,223,7
Shree Cement,1.9k,8.5k,--,232,10
Kyndryl,2k,17.1k,9,182,24
Exide Industries,1.9k,7.2k,97,251,4
Ola Cabs,1.9k,10.7k,20,243,10
Yazaki,1.9k,7.4k,3,268,1
Radisson Hotels,1.9k,5.6k,5,315,8
Dalmia Bharat Cement,1.9k,7.6k,4,239,11
Himalaya Wellness,1.9k,5.9k,15,272,7
Quest Global,1.9k,17.5k,83,206,--
Lifestyle,1.9k,6.9k,9,291,3
IKS Health,1.9k,8.9k,35,240,--
Eureka Forbes,1.9k,5.5k,3,230,1
Ajanta Pharma,1.9k,8k,17,220,6
Blue Star,1.9k,8.5k,18,250,18
ACT Fibernet,1.9k,6.8k,34,259,11
Motilal Oswal Financial Services,1.9k,9.1k,93,183,10
XpressBees,1.9k,6.7k,54,184,6
Aditya Birla Group,1.8k,10.2k,2,255,3
Sonalika Tractors,1.9k,7.8k,13,190,1
Extramarks Education,1.8k,8.6k,79,155,2
DS Group,1.9k,5.7k,29,223,4
Nokia Networks,1.8k,8.3k,41,24,--
Life Insurance Corporation of India,1.8k,4.1k,7,245,6
Mahindra Rural Housing Finance,1.8k,4.8k,33,184,1
Cholamandalam MS General Insurance,1.8k,5.4k,1,168,5
Zomato,1.9k,11.8k,7,225,12
Mahindra Logistics,1.8k,7.7k,2,223,8
Delhi Public School,1.8k,5.2k,113,270,4
Indus Towers,1.8k,7.1k,31,210,8
PVR Cinemas,1.8k,5.5k,53,251,--
Future Retail,1.8k,5.6k,--,259,--
JMC Projects,1.8k,5.5k,1,265,3
Ninjacart,1.8k,5.6k,13,148,23
Emcure Pharmaceuticals,1.8k,8.1k,27,247,11
Rivigo,1.8k,6.8k,7,242,9
Myntra,1.8k,8.9k,8,320,14
SRF,1.8k,7.3k,28,277,1
V-Mart,1.8k,3.8k,37,218,3
Kalpataru Power Transmission,1.8k,6.1k,2,209,8
Parle Agro,1.8k,6.1k,13,225,--
Datamatics Global Services,1.8k,11k,48,194,5
Movate,1.8k,12.9k,60,19,2
Kansai Nerolac Paints,1.8k,6.3k,77,197,2
Renault-Nissan,1.7k,8k,--,271,8
Pfizer,1.7k,5.8k,14,283,6
Tata Teleservices,1.7k,4.4k,1,261,3
Fujitsu,1.8k,14.9k,147,202,13
Mahindra Holidays & Resorts,1.7k,5.8k,125,208,16
VVDN Technologies,1.7k,9.9k,31,147,12
Indian Railways,1.7k,3.1k,--,170,16
MSN Laboratories,1.7k,7.1k,31,182,7
3i Infotech,1.7k,10.5k,119,160,1
BHEL,1.7k,5k,--,218,8
KPMG Global Services,1.7k,4.3k,--,22,--
Raymond,1.7k,6.8k,2,242,--
ICICI Securities,1.7k,8.6k,21,188,3
Reliance Trends,1.7k,4.3k,--,225,3
Blinkit,1.7k,7.9k,6,209,14
Cybage,1.7k,16.9k,72,297,4
Ambuja Cements,1.7k,5.7k,--,217,5
JCB,1.7k,8.3k,--,252,3
Cadila Pharmaceuticals,1.7k,6.9k,5,187,5
suzuki motor gujarat,1.7k,6.2k,77,198,1
Info Edge,1.7k,10.2k,374,310,17
Shell,1.7k,12.3k,--,270,7
GlaxoSmithKline Pharmaceuticals,1.7k,4.9k,6,125,1
Foundever,1.7k,6.1k,117,224,13
Poonawalla Fincorp,1.6k,4.8k,35,134,--
ZS,1.7k,15.9k,36,286,18
PhonePe,1.7k,8.3k,128,193,4
Whirlpool,1.6k,7.6k,11,211,9
Bharat Petroleum,1.6k,6.3k,--,195,5
Tata Elxsi,1.6k,16.3k,178,218,5
Jindal Stainless,1.6k,8.5k,5,206,10
Endurance Technologies,1.6k,7.1k,2,245,--
NoBroker,1.7k,7.7k,320,362,4
Force Motors,1.6k,7.6k,--,171,3
ITC Hotels,1.6k,5.2k,--,202,3
Fincare Small Finance Bank,1.6k,6.1k,--,151,4
Shahi Exports,1.6k,6.7k,52,241,22
GVK Emergency Management and Research Institute,1.6k,4.1k,28,189,--
Syngene International,1.6k,10.8k,10,241,6
Delphi TVS,1.6k,5.3k,1,205,--
Bharti AXA Life Insurance,1.6k,5k,1,175,1
Kalyan Jewellers,1.6k,1.3k,19,59,2
Sobha,1.6k,7.6k,33,219,--
Care Health Insurance,1.6k,7.3k,2,177,1
Brakes India,1.6k,6.4k,6,210,2
Lodha group,1.6k,7.5k,76,201,7
Aavas Financiers ,1.6k,5.4k,80,138,4
HCL Infosystems,1.6k,9.3k,1,233,--
Citicorp,1.6k,19.8k,31,277,6
Sterling & Wilson,1.6k,7.8k,9,211,3
Dhani Loans and Services,1.6k,5.2k,1,50,1
Bureau Veritas,1.6k,7.2k,28,182,14
CAMS,1.6k,6.9k,34,59,6
Sopra Steria,1.6k,13.6k,54,266,6
KENT RO Systems,1.6k,4.4k,12,117,17
Gallagher,1.6k,10.3k,65,129,1
Unacademy,1.6k,8.7k,52,165,35
Varroc Group,1.6k,6.1k,181,154,4
Coromandel International,1.5k,6.4k,6,229,--
Future Generali India Life Insurance,1.5k,6.6k,124,167,2
Allsec Technologies,1.5k,6.2k,10,135,26
Canara HSBC Life Insurance,1.5k,5.7k,15,171,2
Cisco,1.6k,18k,--,241,15
Tata Motors Finance,1.5k,4.4k,33,155,11
RMSI,1.5k,7.1k,20,186,--
Power Mech Projects,1.5k,6k,--,167,4
Star Health & Allied Insurance,1.5k,7.1k,33,172,3
café Coffee day,1.5k,4.2k,14,184,2
Adani Wilmar,1.5k,5.7k,7,178,6
IntouchCX,1.5k,6.8k,90,158,16
