category,name,price_inr,orginal_price_inr,discount%
KISAH,Floral Print Mandarin-Neck Sherwani Set,9000,16498,45
HANGUP PLUS,Buttoned-Up Sherwani with Pyjamas,3100,9999,69
KISAH,Men Floral Woven Sherwani with Kurta & Dhoti,10898,17098,36
KISAH,Men Paisley Woven Sherwani with Kurta & Pyjamas,10599,18097,41
KISAH,Men Floral Woven Sherwani with Kurta & Dhoti,10200,17397,41
KISAH,Men Floral Woven Sherwani & Dhoti Set,6399,11198,43
KISAH,Mandarin-Collar Sherwani with Churidar Set,7699,11899,35
hangup,Ckecked Indian Sherwani Set,2900,9999,71
hangup,Buttoned-Up Sherwani with Pyjamas,2900,9999,71
KISAH,Men Self-Design Regular Fit Sherwani Set,6999,11099,37
ALTHEORY,Brand Print Crew-Neck Sweatshirt,675,1499,55
KISAH,Paisley Print Sherwani Set,8800,14897,41
KISAH,Men Floral Woven Sherwani & Pyjamas Set,7900,14099,44
KISAH,Men Floral Woven Sherwani & Pyjamas Set,8499,14898,43
KISAH,Embroidered Cotton Silk Sherwani Set,9299,15997,42
hangup,Self-design Sherwani Set,3120,12999,76
hangup,3-Piece Button-Front Sherwani Set,3120,12999,76
ChitwanMohan,Sherwani with Dhoti Pants,2799,3999,30
ChitwanMohan,Sherwani with Dhoti Pants,2799,3999,30
Deyann,3-Piece Sherwani Set,5995,11990,50
Anil Kumar Ajit Kumar,Self-Design Sherwani Set with Welt Pocket,3900,9999,61
Kisah Plus,Men Floral Pattern 3-Piece Sherwani Set,9998,16399,39
Anil Kumar Ajit Kumar,Woven Sherwani Set,2925,7499,61
Anil Kumar Ajit Kumar,Sherwani Set with Mandarin Collar,3450,7499,54
KISAH,Men Floral Print Regular Fit Sherwani Set,8399,15299,45
KISAH,Men Maple-Leaf Woven Regular Fit Sherwani Set,7799,15299,49
KISAH,3-Piece Sherwani Set,4978,10499,53
KISAH,Leaf Print Sherwani Set,7799,12499,38
KISAH,Men Floral Woven Regular Fit Sherwani Set,6599,10999,40
Deyann,Men Regular Fit Sherwani Set with Button Down,4995,9990,50
KISAH,Men Regular Fit Sherwani Set,6599,10999,40
KISAH,Chevron Print Sherwani Set,7399,13699,46
KISAH,Floral Print Sherwani Set,8499,13697,38
KISAH,Sherwani Set with Chevron Woven Motifs,7699,13699,44
KISAH,Mandarin-Collar Sherwani & Kurta with Churidar Set,9600,16298,41
KISAH,Mandarin-Collar Sherwani with Churidar Set,8899,14898,40
KISAH,Men Geometric Woven Sherwani & Pyjamas Set,7399,12999,43
KISAH,Men Leaf Woven Regular Fit Sherwani Set,6699,12499,46
KISAH,Men Floral Woven Regular Fit Sherwani Set,7099,11199,37
KISAH,Men Leaf Print Regular Fit Sherwani Set,7900,14099,44
KISAH,Men Leaf Woven Regular Fit Sherwani Set,5699,10999,48
KISAH,Printed Mandarin-Neck Sherwani Set,9899,17898,45
KISAH,Printed Mandarin-Neck Sherwani Set,6199,13098,53
